category,job_title,job_skill_set
HR,Vice President Human Resources,"['human resources management', 'employee relations', 'bilingual (spanish/english)', 'project management', 'human capital management systems', 'microsoft office', 'performance management', 'leadership', 'communication', 'collaboration', 'problem solving', 'time management', 'coaching', 'talent acquisition', 'diversity, equity, inclusion, and belonging (deib)', 'california employment law', 'payroll systems', 'labor relations', 'employee engagement surveys', 'empathy', 'emotional intelligence', 'trust building', 'integrity', 'confidentiality', 'cultural awareness']"
HR,Human Resources Generalist,"['hr management', 'recruitment', 'compliance', 'employee relations', 'performance management', 'training and development', 'employment law', 'organizational development', 'fmla', 'ada compliance', 'onboarding', 'communication', 'problem solving', 'teamwork', 'adaptability', 'interpersonal skills', 'conflict resolution', 'attention to detail', 'organizational skills', 'empathy', 'time management', 'labor relations', 'background checks', 'benefits administration', 'safety training', 'shrm-cp certification']"
HR,Senior Human Resources Business Partner,"['human resources', 'recruitment', 'compensation', 'training', 'data entry', 'employee relations', 'communication', 'problem solving', 'relationship management', 'organizational skills', 'creativity', 'flexibility', 'integrity', 'positive attitude', 'teamwork', 'adaptability', 'discipline', 'onboarding', 'employee development', 'hris', 'legislation knowledge', 'metrics analysis', 'organizational development', 'business acumen', 'performance management', 'workplace investigations', 'change management', 'exit interviews', 'job descriptions', 'sop establishment', 'financial analysis', 'critical thinking', 'mentoring', 'leadership', 'conflict resolution', 'coaching']"
HR,Human Resources Generalist,"['hr principles', 'hr analytics', 'performance management', 'compliance', 'policy development', 'microsoft office suite', 'job analysis', 'data documentation', 'report preparation', 'career pathing', 'performance evaluation', 'organizational skills', 'communication', 'analytical skills', 'problem solving', 'self-starter', 'relationship building', 'time management', 'collaboration', 'deltek vantagepoint', 'icims']"
HR,Human Resources Manager,"['hr strategies', 'employee relations', 'compliance', 'benefit administration', 'payroll processes', 'performance management', 'recruitment and selection', 'conflict resolution', 'communication', 'interpersonal skills', 'strategic planning', 'problem solving', 'employee engagement', 'teamwork', 'hr metrics', 'hr systems', 'shrm certification']"
HR,Human Resources Co-Op - Summer 2024,"['recruiting', 'onboarding', 'employee relations', 'problem solving', 'communication', 'interpersonal skills', 'relationship building', 'multi-tasking', 'organization', 'customer focused', 'ability to work under pressure', 'microsoft office', 'organizational development', 'project management', 'compliance', 'benefits administration', 'compensation management', 'flexibility', 'detail-oriented']"
HR,Human Resources Manager,"['employment law', 'recruiting', 'retention', 'hr experience', 'communication', 'confidentiality', 'flexibility', 'stress management', 'teamwork', 'affirmative action']"
HR,Human Resources Generalist,"['benefits administration', 'employee onboarding', 'recruiting', 'fmla', 'performance management', 'communication', 'attention to detail', 'interpersonal skills', 'training and development', 'customer service', 'problem solving', 'flsa', ""workers' compensation"", 'employment laws', 'microsoft word', 'microsoft excel', 'microsoft powerpoint', 'cobra', 'hipaa', 'erisa', 'ada']"
HR,Human Resources Specialist 1/Trainee 1/2 - HELPS,"['human resources management', 'onboarding', 'leave administration', 'data entry', ""bachelor's degree"", 'professional human resources experience', 'customer service', 'communication', 'teamwork', 'problem solving', 'attention to detail', 'adaptability', 'diversity and inclusion awareness', 'oracle', 'lats (leave and time system)']"
HR,Human Resources Manager,"['human resources', 'employee relations', 'talent acquisition', 'organizational development', 'change management', 'compensation principles', 'project leadership', 'government laws and regulations', 'data analysis', 'communication', 'leadership', 'interpersonal skills', 'problem solving', 'collaboration', 'emotional intelligence', 'agility', 'mentoring', 'prioritization']"
HR,Senior Human Resources Specialist,"['microsoft word', 'microsoft excel', 'microsoft powerpoint', 'customer service', 'attention to detail', 'communication', 'interpersonal skills', 'problem solving', 'hris systems', 'performance management', 'onboarding processes', 'data analysis', 'confidentiality management', 'organization', 'time management', 'collaboration', 'adaptability', 'teamwork']"
HR,Senior Human Resources Business Partner,"['employee engagement', 'performance management', 'microsoft office', 'talent acquisition', 'fmla and ada compliance', 'project management', 'hr policies and procedures', 'diversity and inclusion initiatives', 'communication', 'problem solving', 'interpersonal skills', 'team collaboration', 'organizational skills', 'adaptability', 'initiative', 'integrity', 'creativity', 'leadership', 'hr strategy development', 'conflict resolution', 'hr metrics analysis', 'workforce planning', 'organizational diagnosis']"
HR,Fixed-Term Appointment: UN Women Human Resources Business Partner,"['recruitment and selection', 'benefits administration', 'hr systems implementation', 'data analysis', 'training and development', 'effective communication', 'interpersonal skills', 'team leadership', 'accountability', 'hr strategy and policy development', 'performance management', 'contract management', 'workforce planning', 'knowledge of un staff regulations', 'stakeholder engagement', 'creative problem solving', 'cultural sensitivity', 'negotiation skills', 'change management', 'inclusive collaboration']"
HR,Human Resources Manager,"['recruiting', 'hris systems', 'human resources policies', 'benefits administration', 'fmla management', 'ms office suite', 'critical thinking', 'problem solving', 'attention to detail', 'time management', 'confidential information management', 'communication', 'interpersonal skills', 'relationship building', 'conflict management', 'independent judgment', 'collaboration', 'professionalism', 'ethical standards', 'applicant tracking systems', 'paycom', 'organizational charts', 'customer service']"
HR,Human Resources Coordinator,"['data entry', 'ms office suite', 'reporting', 'recruitment', 'confidentiality', 'communication', 'time management', 'professionalism', 'discretion', 'teamwork', 'problem solving', 'hris', 'smart sheet', 'employee onboarding']"
HR,Human Resources Information System Partner III,"['hris configuration', 'data analysis', 'process improvement', 'communication', 'collaboration', 'problem solving', 'mentoring', 'customer service', 'diplomacy', 'consultation', 'ukg pro', 'ukg workforce management', 'business intelligence', 'cognos reporting', 'technical support']"
HR,Human Resources Business Partner,"['human resources', 'employee relations', 'hris', 'microsoft office (excel, powerpoint, word)', 'analytical skills', 'talent acquisition', 'compliance with labor laws', 'communication', 'coaching', 'organizational skills', 'multi-tasking', 'problem solving', 'teamwork', 'adaptability', 'project management', 'investigative skills', 'commitment to safety']"
HR,Human Resources Generalist,"['recruitment', 'onboarding', 'payroll administration', 'benefits administration', 'compliance', 'human resources management', 'policy adherence', 'interpersonal skills', 'communication', 'relationship building']"
HR,Human Resources Summer 2024 Internship,"['microsoft office', 'hr databases', 'compliance knowledge', 'data analysis', 'event planning', 'communication', 'problem-solving', 'interpersonal skills', 'planning/organizing', 'quality control']"
HR,Human Resources Operations Coordinator,"['microsoft office', 'benefits administration', 'compliance management', 'recruiting', 'onboarding', 'process improvement', 'communication', 'problem solving', 'attention to detail', 'organization', 'time management', 'hris (paycom)', 'data reporting', 'offboarding']"
HR,Human Resources Associate,"['data entry', 'microsoft word', 'microsoft excel', 'hr management system', 'benefit enrollment processing', 'employee file management', 'clerical duties', 'customer service', 'bilingual (english/spanish)', 'communication', 'organization', 'time management', 'problem solving', 'presentation skills', 'initiative', 'professionalism', 'confidentiality', 'dependability', 'adaptability', 'microsoft powerpoint', 'invoice reconciliation', 'office supply procurement', 'cobra packet preparation']"
HR,Human Resources Manager,"['human resources management', 'employment law compliance', 'talent acquisition', 'data analysis', 'performance management', 'benefits administration', 'communication', 'interpersonal skills', 'critical thinking', 'teamwork', 'problem solving', 'creativity', 'adaptability', 'organizational skills', 'customer service orientation', 'training program design', 'project management', 'strategic planning', 'change management', 'influence']"
HR,Human Resources Manager,"['recruiting', 'talent management', 'compliance', 'employee engagement programs', 'conflict resolution', 'human resources policies', 'performance management', 'employment law', 'training and development', 'benefits administration', 'investigations', 'communication', 'interpersonal skills', 'integrity', 'professionalism', 'time management', 'problem solving', 'team collaboration', 'adaptability', 'confidentiality', 'leadership', 'relationship building', 'critical thinking', 'empathy', 'creativity', 'payroll administration', 'timekeeping', 'data management', 'applicant tracking systems', 'negotiation', 'occupational health and safety', 'interviewing', 'sourcing', 'screening', 'budget management']"
HR,Human Resources Intern,"['administrative support', 'recruitment', 'onboarding', 'record maintenance', 'filing', 'document archiving', 'hr processes', 'talent management', 'talent acquisition', 'people operations', 'interest in hr', 'eagerness to learn', 'communication', 'teamwork', 'attention to detail', 'time management']"
HR,Senior Human Resources Generalist,"['hr compliance', 'recruitment', 'talent development', 'employee relations', 'compensation management', 'onboarding', 'communication skills', 'interpersonal skills', 'conflict resolution', 'listening skills', 'sense of urgency', 'prioritization', 'team collaboration', 'adaptability', 'program management', 'international hr operations', 'project management', ""bachelor's degree in hr or related field"", 'phr/sphr certification', 'shrm-cp/shrm-scp certification', 'cultural sensitivity']"
HR,Human Resources Business Partner,"['hr management', 'employee relations', 'performance management', 'data analysis', 'hris systems', 'legal compliance', 'microsoft office', 'project management', 'coaching and mentoring', 'communication', 'problem solving', 'collaboration', 'strategic thinking', 'results-oriented', 'adaptability', 'creativity', 'engagement', 'initiative', 'teamwork', 'bilingual in spanish']"
HR,Human Resources Assistant,"['human resources administration', 'recruiting', 'microsoft office', 'clerical functions', 'office administration', 'independent judgment', 'communication', 'teamwork', 'problem solving', 'attention to detail', 'customer service', 'payroll administration', 'employee benefits', 'compliance', 'performance management', 'jd edwards', 'kronos']"
HR,Human Resources Business Partner,"['hr experience', 'data analysis', 'talent management', 'process improvement', 'communication', 'problem solving', 'team building', 'collaboration', 'self-motivation', 'organizational skills', 'attention to detail', 'multi-tasking', 'compensation management', 'change management', 'employment law knowledge', 'human capital strategy development', 'negotiation']"
HR,Vice President Human Resources,"['human resources management', 'conflict resolution', 'problem solving', 'employee relations', 'organizational design', 'hr legal compliance', 'microsoft office suite', 'hris and talent management systems', 'payroll management', 'employee benefits administration', 'training and development', 'performance appraisal programs', 'recruiting and placement practices', 'leadership', 'interpersonal skills', 'communication', 'adaptability', 'teamwork', 'initiative', 'creativity', 'work ethic', 'accountability', 'curiosity', 'diversity, equity, and inclusion (dei) initiatives', 'bilingual (english/spanish)']"
HR,Human Resources Intern,"['team management', 'communication', 'teamwork', 'problem solving', 'initiative', 'adaptability', 'recruiting', 'resume screening', 'social media promotion', 'video communication']"
HR,Human Resources Director,"['hr management', 'employee relations', 'hr reporting and analytics', 'hris management', 'payroll processing', 'compensation management', 'benefits administration', 'policy development', 'compliance management', 'performance management', 'project management', 'microsoft excel', 'employee engagement strategies', 'organizational development', 'conflict resolution', 'coaching and development', 'employee satisfaction surveys', 'communication', 'relationship management', 'leadership', 'problem solving', 'collaboration', 'trustworthiness', 'innovation', 'adaptability', 'confidentiality', 'diversity, equity, inclusion programs', 'change management', ""workers' compensation management"", 'hr technology implementation', 'curiosity']"
HR,Human Resources Representative,"['onboarding', 'interview coordination', 'data entry', 'communication', 'multi-tasking', 'problem solving', 'teamwork', 'attention to detail', 'adaptability', 'hris', 'kronos', 'sap', 'offboarding', 'human resources certification', 'project management', 'customer service']"
HR,Human Resources Business Partner,"['human resources', 'organizational development', 'data analysis', 'conflict resolution', 'employee relations', 'regulatory compliance', 'hris', 'ms office', 'team dynamics', 'communication', 'leadership', 'strategic thinking', 'relationship building', 'coaching', 'problem solving', 'mentoring', 'adaptability', 'collaboration', 'change management', 'mediation', 'investigation', 'cultural awareness']"
HR,Human Resource Manager,"['human resource management', 'employee benefits administration', 'recruitment', 'microsoft office suite', 'strategic planning', 'analytical thinking', 'compliance management', 'onboarding processes', 'communication', 'problem solving', 'critical thinking', 'innovative thinking', 'team leadership', 'interpersonal skills', 'employment law', 'payroll processing']"
HR,Human Resources Generalist,"['payroll', 'hris systems', 'compliance', 'data analysis', 'microsoft office', 'record keeping', 'communication', 'attention to detail', 'confidentiality', 'problem solving', 'teamwork', 'customer service', 'adaptability', 'hr certifications', 'vendor management', 'employment laws', 'real estate experience']"
HR,Senior Human Resources Manager,"['human resources management', 'employee relations', 'recruitment', 'training and development', 'compensation management', 'hr information systems', 'workforce planning', 'policy development', 'compliance', 'performance appraisal', 'communication', 'leadership', 'problem solving', 'teamwork', 'consultation', 'insight', 'adaptability', 'benefit administration', 'strategic counseling', 'community relations', 'diversity awareness']"
HR,District Human Resources Manager (Pensacola),"['human resources', 'microsoft excel', 'microsoft powerpoint', 'onboarding', 'talent management', 'training', 'communication', 'collaboration', 'coaching', 'problem solving', 'relationship building', 'adaptability', 'employment law', 'hris systems', 'microsoft word', 'data analysis', 'recruiting', 'compliance', 'performance management', 'succession planning', 'integrity', 'leadership', 'engagement', 'analytical thinking']"
HR,Human Resources Generalist,"['hr management', 'employee onboarding', 'compensation administration', 'benefits administration', 'payroll processing', 'personnel file management', 'vendor management', 'strategic thinking', 'hr systems', 'organizational learning', 'communication', 'decision-making', 'interpersonal skills', 'leadership', 'results-oriented', 'change management', 'microsoft office suite', 'microsoft 365', 'project management']"
HR,Human Resources Manager,"['hr management', 'compliance knowledge', 'hris proficiency', 'payroll systems', 'microsoft office suite', 'policy development', 'employee training', 'performance appraisal systems', 'analytical skills', 'communication', 'interpersonal skills', 'negotiation', 'conflict resolution', 'organizational skills', 'time management', 'integrity', 'leadership', 'problem solving', 'confidentiality', 'talent management systems']"
HR,Human Resources Specialist,"['payroll processing', 'data entry', 'microsoft office', 'building maintenance', 'communication', 'problem solving', 'attention to detail', 'teamwork', 'time management', '401(k) management', 'benefits design', 'background checks', 'health insurance enrollment', 'windows operating system', 'accounting software', 'i-9 verification', 'supply ordering', 'proactive approach', 'ethical standards', 'adaptability']"
HR,Human Resources Generalist,"['employee relations', 'payroll', 'benefits administration', 'compliance', 'human resources programs', ""bachelor's degree in hr or related field"", 'relationship building', 'communication', 'problem solving', 'teamwork', 'adaptability', 'legal knowledge', 'leave policies implementation', 'manufacturing hr experience']"
HR,Sr. Area Human Resource Manager,"['hr management', 'employee relations', 'federal employment laws', 'microsoft office suite', 'onboarding', 'communication', 'attention to detail', 'problem solving', 'teamwork', 'customer focus', 'leadership', 'work ethic', 'adaptability', 'conflict resolution', 'recruiting', 'analytical skills', 'applicant tracking systems', 'performance management', 'compensation administration', 'benefits administration', 'data interpretation', 'time management']"
HR,Human Resources Assistant,"['attention to detail', 'technology proficiency', 'document preparation', 'scheduling meetings', 'file organization', 'professional communication', 'collaboration', 'time management', 'confidentiality', 'prioritization', 'problem solving', 'data entry', 'sharepoint', 'paycom', 'ats systems', 'auditing data', 'spanish language proficiency']"
HR,Human Resources Administrator,"['employee database management', 'attendance record maintenance', 'policy formulation', 'job posting', 'candidate shortlisting', 'interview scheduling', 'training session coordination', 'interpersonal skills', 'communication skills', 'critical thinking', 'problem solving', 'orientation coordination']"
